J,mu,phi,<n>,<dN^2>
0.0,0.0,0.00938051015293357,5.430513390350042,5.430513390350042
0.0,0.01694915254237288,4.46801782039966e-15,9.0,9.0
0.0,0.03389830508474576,4.607958466076497e-16,9.0,9.0
0.0,0.05084745762711865,1.3315151772395344e-15,9.0,9.0
0.0,0.06779661016949153,8.41208681996838e-16,9.0,9.0
0.0,0.0847457627118644,4.7399569054111236e-17,9.0,9.0
0.0,0.1016949152542373,2.594142910590268e-15,9.0,9.0
0.0,0.11864406779661017,2.0094005118884196e-15,9.0,9.0
0.0,0.13559322033898305,9.070489245224069e-16,9.0,9.0
0.0,0.15254237288135594,2.6837619454850885e-17,9.0,9.0
0.0,0.1694915254237288,2.7759092662362345e-15,9.0,9.0
0.0,0.1864406779661017,1.7243054746604129e-16,9.0,9.0
0.0,0.2033898305084746,2.33403070319826e-15,9.0,9.0
0.0,0.22033898305084745,7.507820903993258e-16,9.0,9.0
0.0,0.23728813559322035,1.6636244448179964e-15,9.0,9.0
0.0,0.2542372881355932,1.8912617665699527e-15,9.0,9.0
0.0,0.2711864406779661,1.9378962861952703e-15,9.0,9.0
0.0,0.288135593220339,6.381432967483125e-16,9.0,9.0
0.0,0.3050847457627119,7.725746799416454e-16,9.0,9.0
0.0,0.3220338983050847,8.380671034615797e-16,9.0,9.0
0.0,0.3389830508474576,8.020042606801908e-16,9.0,9.0
0.0,0.3559322033898305,5.265283615463549e-16,9.0,9.0
0.0,0.3728813559322034,3.3189776976723183e-16,9.0,9.0
0.0,0.3898305084745763,1.5836713932003277e-15,9.0,9.0
0.0,0.4067796610169492,1.8965259152102558e-16,9.0,9.0
0.0,0.423728813559322,1.1539564862680353e-15,9.0,9.0
0.0,0.4406779661016949,1.1912835163072696e-15,9.0,9.0
0.0,0.4576271186440678,6.489426258641337e-16,9.0,9.0
0.0,0.4745762711864407,6.08352494697561e-16,9.0,9.0
0.0,0.4915254237288136,3.2656720363904855e-16,9.0,9.0
0.0,0.5084745762711864,1.890937885255329e-15,9.0,9.0
0.0,0.5254237288135594,3.837729783460266e-15,9.0,9.0
0.0,0.5423728813559322,1.2063478339477293e-15,9.0,9.0
0.0,0.559322033898305,2.8915602495533156e-16,9.0,9.0
0.0,0.576271186440678,3.514924829909597e-16,9.0,9.0
0.0,0.5932203389830508,5.730414303401063e-16,9.0,9.0
0.0,0.6101694915254238,4.06416371991437e-16,9.0,9.0
0.0,0.6271186440677966,2.006494462915368e-15,9.0,9.0
0.0,0.6440677966101694,3.5514764974193445e-16,9.0,9.0
0.0,0.6610169491525424,8.446530269873351e-17,9.0,9.0
0.0,0.6779661016949152,7.621756186591551e-16,9.0,9.0
0.0,0.6949152542372882,8.32517690956858e-15,9.0,9.0
0.0,0.711864406779661,2.5669264171147317e-15,9.0,9.0
0.0,0.7288135593220338,1.6917013473768864e-15,9.0,9.0
0.0,0.7457627118644068,1.1811361986994519e-14,9.0,9.0
0.0,0.7627118644067796,2.023896844932506e-15,9.0,9.0
0.0,0.7796610169491526,1.2649215750724048e-16,9.0,9.0
0.0,0.7966101694915254,1.5505801125028255e-16,9.0,9.0
0.0,0.8135593220338984,2.0792501367959554e-15,9.0,9.0
0.0,0.8305084745762712,5.645760856371417e-15,9.0,9.0
0.0,0.847457627118644,6.2219715132688685e-15,9.0,9.0
0.0,0.864406779661017,4.876237243094985e-15,9.0,9.0
0.0,0.8813559322033898,1.049541395588385e-14,9.0,9.0
0.0,0.8983050847457628,4.31483596322845e-16,9.0,9.0
0.0,0.9152542372881356,1.615831077246929e-14,9.0,9.0
0.0,0.9322033898305084,1.15956439242846e-15,9.0,9.0
0.0,0.9491525423728814,3.881138327396691e-15,9.0,9.0
0.0,0.9661016949152542,5.0834610094786036e-14,9.0,9.0
0.0,0.9830508474576272,5.406691570681174e-14,9.0,9.0
0.0,1.0,0.04482408440106248,12.788363917513626,12.788363917513626
0.0033898305084745766,0.0,0.2608981989375178,4.50041487532512,4.50041487532512
0.0033898305084745766,0.01694915254237288,9.158988325056958e-07,8.999999909003593,8.999999909003593
0.0033898305084745766,0.03389830508474576,2.920344652245221e-08,8.999999979429777,8.999999979429777
0.0033898305084745766,0.05084745762711865,4.4474381207439005e-09,8.999999991042007,8.999999991042007
0.0033898305084745766,0.06779661016949153,1.2412685038114751e-09,8.999999995015129,8.999999995015129
0.0033898305084745766,0.0847457627118644,4.807207725656463e-10,8.999999996839497,8.999999996839497
0.0033898305084745766,0.1016949152542373,2.2882913122309373e-10,8.99999999782736,8.99999999782736
0.0033898305084745766,0.11864406779661017,1.2556841610261615e-10,8.999999998422556,8.999999998422556
0.0033898305084745766,0.13559322033898305,7.647215152118718e-11,8.999999998809216,8.999999998809216
0.0033898305084745766,0.15254237288135594,5.043945105402548e-11,8.999999999074914,8.999999999074914
0.0033898305084745766,0.1694915254237288,3.5434720038206443e-11,8.99999999926571,8.99999999926571
0.0033898305084745766,0.1864406779661017,2.6209894379127958e-11,8.999999999407652,8.999999999407652
0.0033898305084745766,0.2033898305084746,2.0228955792162763e-11,8.999999999516472,8.999999999516472
0.0033898305084745766,0.22033898305084745,1.6189982263914224e-11,8.999999999601958,8.999999999601958
0.0033898305084745766,0.23728813559322035,1.336464915791566e-11,8.999999999670644,8.999999999670644
0.0033898305084745766,0.2542372881355932,1.133706402052527e-11,8.99999999972693,8.99999999972693
0.0033898305084745766,0.2711864406779661,9.849092387114427e-12,8.999999999773953,8.999999999773953
0.0033898305084745766,0.288135593220339,8.74206790506651e-12,8.999999999813838,8.999999999813838
0.0033898305084745766,0.3050847457627119,7.911349202994253e-12,8.99999999984823,8.99999999984823
0.0033898305084745766,0.3220338983050847,7.286623698821054e-12,8.999999999878359,8.999999999878359
0.0033898305084745766,0.3389830508474576,6.818853182937597e-12,8.999999999905206,8.999999999905206
0.0033898305084745766,0.3559322033898305,6.478165528220021e-12,8.999999999929406,8.999999999929406
0.0033898305084745766,0.3728813559322034,6.2421759733618036e-12,8.999999999951635,8.999999999951635
0.0033898305084745766,0.3898305084745763,6.094842517057208e-12,8.999999999972275,8.999999999972275
0.0033898305084745766,0.4067796610169492,6.02715859971984e-12,8.999999999991754,8.999999999991754
0.0033898305084745766,0.423728813559322,6.029413674615571e-12,9.000000000010479,9.000000000010479
0.0033898305084745766,0.4406779661016949,6.106966393211494e-12,9.000000000028681,9.000000000028681
0.0033898305084745766,0.4576271186440678,6.252967327173181e-12,9.0000000000466,9.0000000000466
0.0033898305084745766,0.4745762711864407,6.473581919992741e-12,9.000000000064565,9.000000000064565
0.0033898305084745766,0.4915254237288136,6.778010130214056e-12,9.00000000008275,9.00000000008275
0.0033898305084745766,0.5084745762711864,7.171211427978746e-12,9.000000000101478,9.000000000101478
0.0033898305084745766,0.5254237288135594,7.669286128114398e-12,9.000000000120975,9.000000000120975
0.0033898305084745766,0.5423728813559322,8.295491586319058e-12,9.000000000141515,9.000000000141515
0.0033898305084745766,0.559322033898305,9.073092762255924e-12,9.000000000163409,9.000000000163409
0.0033898305084745766,0.576271186440678,1.0039397977634878e-11,9.000000000187054,9.000000000187054
0.0033898305084745766,0.5932203389830508,1.1236159151788973e-11,9.000000000212747,9.000000000212747
0.0033898305084745766,0.6101694915254238,1.2731961514598545e-11,9.000000000241068,9.000000000241068
0.0033898305084745766,0.6271186440677966,1.4612633837267673e-11,9.000000000272498,9.000000000272498
0.0033898305084745766,0.6440677966101694,1.6999244258129484e-11,9.000000000307836,9.000000000307836
0.0033898305084745766,0.6610169491525424,2.0045506331203542e-11,9.000000000347955,9.000000000347955
0.0033898305084745766,0.6779661016949152,2.4035530012385097e-11,9.000000000393879,9.000000000393879
0.0033898305084745766,0.6949152542372882,2.926866902561219e-11,9.000000000447045,9.000000000447045
0.0033898305084745766,0.711864406779661,3.6318826560220424e-11,9.000000000509297,9.000000000509297
0.0033898305084745766,0.7288135593220338,4.593339838127236e-11,9.000000000582984,9.000000000582984
0.0033898305084745766,0.7457627118644068,5.938598795817939e-11,9.00000000067142,9.00000000067142
0.0033898305084745766,0.7627118644067796,7.867967387766415e-11,9.00000000077897,9.00000000077897
0.0033898305084745766,0.7796610169491526,1.0717522748937291e-10,9.000000000911784,9.000000000911784
0.0033898305084745766,0.7966101694915254,1.5071154463772187e-10,9.000000001078812,9.000000001078812
0.0033898305084745766,0.8135593220338984,2.1986401167540863e-10,9.000000001293127,9.000000001293127
0.0033898305084745766,0.8305084745762712,3.350340245357701e-10,9.000000001574737,9.000000001574737
0.0033898305084745766,0.847457627118644,5.37976832791336e-10,9.000000001955527,9.000000001955527
0.0033898305084745766,0.864406779661017,9.213746163099154e-10,9.000000002488749,9.000000002488749
0.0033898305084745766,0.8813559322033898,1.711754340672067e-09,9.00000000326903,9.00000000326903
0.0033898305084745766,0.8983050847457628,3.537806458398824e-09,9.000000004477611,9.000000004477611
0.0033898305084745766,0.9152542372881356,8.462022702482535e-09,9.000000006500738,9.000000006500738
0.0033898305084745766,0.9322033898305084,2.5061818864141515e-08,9.000000010289073,9.000000010289073
0.0033898305084745766,0.9491525423728814,1.0486786184944583e-07,9.000000018772843,9.000000018772843
0.0033898305084745766,0.9661016949152542,8.575329072640329e-07,9.000000045566647,9.000000045566647
0.0033898305084745766,0.9830508474576272,6.394458544817759e-05,9.000000342083567,9.000000342083567
0.0033898305084745766,1.0,0.019400767180349394,13.99930924846803,13.99930924846803
0.006779661016949153,0.0,0.26093751733887116,4.500460593243188,4.500460593243188
0.006779661016949153,0.01694915254237288,6.468754855691047e-05,8.9999993308307,8.9999993308307
0.006779661016949153,0.03389830508474576,1.0600724285543347e-06,8.999999909203078,8.999999909203078
0.006779661016949153,0.05084745762711865,1.49057398114021e-07,8.999999962643692,8.999999962643692
0.006779661016949153,0.06779661016949153,4.0592465832832814e-08,8.999999979593568,8.999999979593568
0.006779661016949153,0.0847457627118644,1.555922160528609e-08,8.999999987169359,8.999999987169359
0.006779661016949153,0.1016949152542373,7.3684846110055305e-09,8.999999991219145,8.999999991219145
0.006779661016949153,0.11864406779661017,4.032085951143253e-09,8.999999993641714,8.999999993641714
0.006779661016949153,0.13559322033898305,2.451487387964504e-09,8.999999995208523,8.999999995208523
0.006779661016949153,0.15254237288135594,1.6152730434959581e-09,8.999999996282057,8.999999996282057
0.006779661016949153,0.1694915254237288,1.1341062103537386e-09,8.999999997051365,8.999999997051365
0.006779661016949153,0.1864406779661017,8.384255555604999e-10,8.999999997622878,8.999999997622878
0.006779661016949153,0.2033898305084746,6.469642138419789e-10,8.999999998060341,8.999999998060341
0.006779661016949153,0.22033898305084745,5.17652825162392e-10,8.999999998403853,8.999999998403853
0.006779661016949153,0.23728813559322035,4.2730203674040396e-10,8.999999998679721,8.999999998679721
0.006779661016949153,0.2542372881355932,3.6243219508474886e-10,8.999999998905635,8.999999998905635
0.006779661016949153,0.2711864406779661,3.1487424495641095e-10,8.999999999094149,8.999999999094149
0.006779661016949153,0.288135593220339,2.794805547381417e-10,8.999999999254133,8.999999999254133
0.006779661016949153,0.3050847457627119,2.529062134823682e-10,8.999999999392047,8.999999999392047
0.006779661016949153,0.3220338983050847,2.3292484909430656e-10,8.999999999512887,8.999999999512887
0.006779661016949153,0.3389830508474576,2.1802138736650883e-10,8.999999999620396,8.999999999620396
0.006779661016949153,0.3559322033898305,2.0716211991195174e-10,8.99999999971745,8.99999999971745
0.006779661016949153,0.3728813559322034,1.9962704855497048e-10,8.999999999806393,8.999999999806393
0.006779661016949153,0.3898305084745763,1.9493270550617247e-10,8.999999999889166,8.999999999889166
0.006779661016949153,0.4067796610169492,1.9275982108024198e-10,8.999999999967306,8.999999999967306
0.006779661016949153,0.423728813559322,1.9292166902264267e-10,9.000000000042228,9.000000000042228
0.006779661016949153,0.4406779661016949,1.9534550445659756e-10,9.000000000115108,9.000000000115108
0.006779661016949153,0.4576271186440678,2.000535730860432e-10,9.000000000187038,9.000000000187038
0.006779661016949153,0.4745762711864407,2.0715567807647136e-10,9.000000000258984,9.000000000258984
0.006779661016949153,0.4915254237288136,2.168723805282458e-10,9.000000000332046,9.000000000332046
0.006779661016949153,0.5084745762711864,2.2952763797228317e-10,9.000000000407143,9.000000000407143
0.006779661016949153,0.5254237288135594,2.455871220502343e-10,9.000000000485324,9.000000000485324
0.006779661016949153,0.5423728813559322,2.656709414117697e-10,9.000000000567757,9.000000000567757
0.006779661016949153,0.559322033898305,2.906302989363796e-10,9.00000000065568,9.00000000065568
0.006779661016949153,0.576271186440678,3.215908296024488e-10,9.000000000750457,9.000000000750457
0.006779661016949153,0.5932203389830508,3.6007238370925843e-10,9.000000000853795,9.000000000853795
0.006779661016949153,0.6101694915254238,4.0813029507001043e-10,9.000000000967583,9.000000000967583
0.006779661016949153,0.6271186440677966,4.68574199011636e-10,9.000000001094193,9.000000001094193
0.006779661016949153,0.6440677966101694,5.452927988406206e-10,9.000000001236403,9.000000001236403
0.006779661016949153,0.6610169491525424,6.437587365636792e-10,9.000000001397844,9.000000001397844
0.006779661016949153,0.6779661016949152,7.717943277586736e-10,9.000000001582944,9.000000001582944
0.006779661016949153,0.6949152542372882,9.407926311677682e-10,9.000000001797426,9.000000001797426
0.006779661016949153,0.711864406779661,1.1677418606535438e-09,9.000000002048868,9.000000002048868
0.006779661016949153,0.7288135593220338,1.4785414219025936e-09,9.00000000234694,9.00000000234694
0.006779661016949153,0.7457627118644068,1.9138528804036124e-09,9.000000002705033,9.000000002705033
0.006779661016949153,0.7627118644067796,2.539334713329777e-09,9.000000003141313,9.000000003141313
0.006779661016949153,0.7796610169491526,3.4650948564538968e-09,9.000000003681519,9.000000003681519
0.006779661016949153,0.7966101694915254,4.8832259864192195e-09,9.000000004362484,9.000000004362484
0.006779661016949153,0.8135593220338984,7.1450600269214745e-09,9.000000005239523,9.000000005239523
0.006779661016949153,0.8305084745762712,1.0930357231795715e-08,9.0000000063973,9.0000000063973
0.006779661016949153,0.847457627118644,1.764526140792115e-08,9.000000007972515,9.000000007972515
0.006779661016949153,0.864406779661017,3.044838037229135e-08,9.00000001019732,9.00000001019732
0.006779661016949153,0.8813559322033898,5.720728491089269e-08,9.000000013493139,9.000000013493139
0.006779661016949153,0.8983050847457628,1.203467174285143e-07,9.0000000186965,9.0000000186965
0.006779661016949153,0.9152542372881356,2.967281652448065e-07,9.000000027684576,9.000000027684576
0.006779661016949153,0.9322033898305084,9.32295553356507e-07,9.000000045529884,9.000000045529884
0.006779661016949153,0.9491525423728814,4.498241110765349e-06,9.000000091253783,9.000000091253783
0.006779661016949153,0.9661016949152542,6.552287975928643e-05,9.000000342663741,9.000000342663741
0.006779661016949153,0.9830508474576272,0.005401231629357982,11.000047402200266,11.000047402200266
0.006779661016949153,1.0,0.009875660994382952,13.99982168571773,13.99982168571773
0.01016949152542373,0.0,0.26098567538167333,4.500515361008003,4.500515361008003
0.01016949152542373,0.01694915254237288,0.0026879612991678437,7.9999738605688915,7.9999738605688915
0.01016949152542373,0.03389830508474576,1.0257569432611971e-05,8.999999751867305,8.999999751867305
0.01016949152542373,0.05084745762711865,1.228169892421008e-06,8.99999990951765,8.99999990951765
0.01016949152542373,0.06779661016949153,3.1997566314332393e-07,8.99999995222385,8.99999995222385
0.01016949152542373,0.0847457627118644,1.2046269023584918e-07,8.999999970397747,8.999999970397747
0.01016949152542373,0.1016949152542373,5.654956420669292e-08,8.999999979896849,8.999999979896849
0.01016949152542373,0.11864406779661017,3.079651353948127e-08,8.999999985509474,8.999999985509474
0.01016949152542373,0.13559322033898305,1.867168126689807e-08,8.99999998911217,8.99999998911217
0.01016949152542373,0.15254237288135594,1.228148902862638e-08,8.99999999156847,8.99999999156847
0.01016949152542373,0.1694915254237288,8.613555688728143e-09,8.999999993322543,8.999999993322543
0.01016949152542373,0.1864406779661017,6.363377433230249e-09,8.999999994622435,8.999999994622435
0.01016949152542373,0.2033898305084746,4.908020787249549e-09,8.999999995615601,8.999999995615601
0.01016949152542373,0.22033898305084745,3.925892737349077e-09,8.9999999963944,8.9999999963944
0.01016949152542373,0.23728813559322035,3.2400627730394985e-09,8.999999997019044,8.999999997019044
0.01016949152542373,0.2542372881355932,2.747917090954632e-09,8.99999999753026,8.99999999753026
0.01016949152542373,0.2711864406779661,2.3872409104778257e-09,8.999999997956467,8.999999997956467
0.01016949152542373,0.288135593220339,2.118903897033976e-09,8.999999998317879,8.999999998317879
0.01016949152542373,0.3050847457627119,1.917494025307518e-09,8.999999998629459,8.999999998629459
0.01016949152542373,0.3220338983050847,1.76610522711725e-09,8.999999998902274,8.999999998902274
0.01016949152542373,0.3389830508474576,1.653259203333758e-09,8.999999999144903,8.999999999144903
0.01016949152542373,0.3559322033898305,1.5710730112265618e-09,8.99999999936394,8.99999999936394
0.01016949152542373,0.3728813559322034,1.5141225943420843e-09,8.999999999564631,8.999999999564631
0.01016949152542373,0.3898305084745763,1.478715587946311e-09,8.9999999997514,8.9999999997514
0.01016949152542373,0.4067796610169492,1.4624613955191148e-09,8.999999999927791,8.999999999927791
0.01016949152542373,0.423728813559322,1.4639521375745366e-09,9.000000000096833,9.000000000096833
0.01016949152542373,0.4406779661016949,1.4826281954030049e-09,9.000000000261364,9.000000000261364
0.01016949152542373,0.4576271186440678,1.5186618826710244e-09,9.00000000042372,9.00000000042372
0.01016949152542373,0.4745762711864407,1.5729497121541584e-09,9.000000000586269,9.000000000586269
0.01016949152542373,0.4915254237288136,1.64714422125258e-09,9.000000000751246,9.000000000751246
0.01016949152542373,0.5084745762711864,1.7437541162613083e-09,9.000000000921023,9.000000000921023
0.01016949152542373,0.5254237288135594,1.8663129042738516e-09,9.000000001097812,9.000000001097812
0.01016949152542373,0.5423728813559322,2.0196414195494417e-09,9.000000001284286,9.000000001284286
0.01016949152542373,0.559322033898305,2.210212195732972e-09,9.000000001483317,9.000000001483317
0.01016949152542373,0.576271186440678,2.4466989636151905e-09,9.000000001698071,9.000000001698071
0.01016949152542373,0.5932203389830508,2.7407804920332427e-09,9.000000001932206,9.000000001932206
0.01016949152542373,0.6101694915254238,3.108255871371151e-09,9.000000002190374,9.000000002190374
0.01016949152542373,0.6271186440677966,3.5707730871454568e-09,9.000000002477828,9.000000002477828
0.01016949152542373,0.6440677966101694,4.158339342921849e-09,9.000000002801187,9.000000002801187
0.01016949152542373,0.6610169491525424,4.913219425049531e-09,9.00000000316853,9.00000000316853
0.01016949152542373,0.6779661016949152,5.8959612154820495e-09,9.000000003590406,9.000000003590406
0.01016949152542373,0.6949152542372882,7.195028965968805e-09,9.000000004080237,9.000000004080237
0.01016949152542373,0.711864406779661,8.942540046290236e-09,9.000000004655105,9.000000004655105
0.01016949152542373,0.7288135593220338,1.1340765709746919e-08,9.0000000053382,9.0000000053382
0.01016949152542373,0.7457627118644068,1.4708073689907466e-08,9.000000006160878,9.000000006160878
0.01016949152542373,0.7627118644067796,1.9561853058823103e-08,9.000000007166388,9.000000007166388
0.01016949152542373,0.7796610169491526,2.6773856507431527e-08,9.000000008416036,9.000000008416036
0.01016949152542373,0.7966101694915254,3.787626819918532e-08,9.0000000099991,9.0000000099991
0.01016949152542373,0.8135593220338984,5.569804629620003e-08,9.000000012050124,9.000000012050124
0.01016949152542373,0.8305084745762712,8.577818488659229e-08,9.000000014779804,9.000000014779804
0.01016949152542373,0.847457627118644,1.3976212440339817e-07,9.000000018534204,9.000000018534204
0.01016949152542373,0.864406779661017,2.443977202542865e-07,9.000000023918547,9.000000023918547
0.01016949152542373,0.8813559322033898,4.6849966573152015e-07,9.000000032076652,9.000000032076652
0.01016949152542373,0.8983050847457628,1.0182031809744986e-06,9.000000045423041,9.000000045423041
0.01016949152542373,0.9152542372881356,2.6616909070497886e-06,9.000000069959926,9.000000069959926
0.01016949152542373,0.9322033898305084,9.47218125679874e-06,9.000000125458167,9.000000125458167
0.01016949152542373,0.9491525423728814,6.717978628342375e-05,9.000000343190127,9.000000343190127
0.01016949152542373,0.9661016949152542,0.0040275132412430385,10.000041556234663,10.000041556234663
0.01016949152542373,0.9830508474576272,0.002358766549545907,12.000002333302213,12.000002333302213
0.01016949152542373,1.0,0.006700110260994463,13.9999182578002,13.9999182578002
0.013559322033898306,0.0,0.26104593016459426,4.500582470104294,4.500582470104294
0.013559322033898306,0.01694915254237288,0.0031245896863154867,6.999979962113985,6.999979962113985
0.013559322033898306,0.03389830508474576,6.749739413954441e-05,8.99999934403983,8.99999934403983
0.013559322033898306,0.05084745762711865,5.86653920040072e-06,8.999999819657816,8.999999819657816
0.013559322033898306,0.06779661016949153,1.4244382015388399e-06,8.999999909960154,8.999999909960154
0.013559322033898306,0.0847457627118644,5.220184830049859e-07,8.999999945441138,8.999999945441138
0.013559322033898306,0.1016949152542373,2.4193433162996274e-07,8.999999963366593,8.999999963366593
0.013559322033898306,0.11864406779661017,1.3085087299973596e-07,8.999999973768206,8.999999973768206
0.013559322033898306,0.13559322033898305,7.901686750208123e-08,8.999999980372555,8.999999980372555
0.013559322033898306,0.15254237288135594,5.184708049022396e-08,8.9999999848436,8.9999999848436
0.013559322033898306,0.1694915254237288,3.630644181566324e-08,8.999999988020917,8.999999988020917
0.013559322033898306,0.1864406779661017,2.679514191902106e-08,8.999999990367186,8.999999990367186
0.013559322033898306,0.2033898305084746,2.065355274874232e-08,8.99999999215512,8.99999999215512
0.013559322033898306,0.22033898305084745,1.651383858685021e-08,8.999999993554257,8.999999993554257
0.013559322033898306,0.23728813559322035,1.3625537712677849e-08,8.99999999467474,8.99999999467474
0.013559322033898306,0.2542372881355932,1.1554280317636522e-08,8.999999995590773,8.999999995590773
0.013559322033898306,0.2711864406779661,1.0037159623906157e-08,8.99999999635365,8.99999999635365
0.013559322033898306,0.288135593220339,8.908959225780957e-09,8.99999999700003,8.99999999700003
0.013559322033898306,0.3050847457627119,8.062546121857942e-09,8.999999997556897,8.999999997556897
0.013559322033898306,0.3220338983050847,7.426659851698282e-09,8.999999998044308,8.999999998044308
0.013559322033898306,0.3389830508474576,6.9529719689831495e-09,8.999999998477511,8.999999998477511
0.013559322033898306,0.3559322033898305,6.608310209312652e-09,8.99999999886854,8.99999999886854
0.013559322033898306,0.3728813559322034,6.369856552625521e-09,8.9999999992268,8.9999999992268
0.013559322033898306,0.3898305084745763,6.222134057149983e-09,8.999999999560208,8.999999999560208
0.013559322033898306,0.4067796610169492,6.155083581925165e-09,8.99999999987509,8.99999999987509
0.013559322033898306,0.423728813559322,6.162871849228204e-09,9.000000000176913,9.000000000176913
0.013559322033898306,0.4406779661016949,6.243170775971038e-09,9.000000000470628,9.000000000470628
0.013559322033898306,0.4576271186440678,6.39679187216932e-09,9.000000000760684,9.000000000760684
0.013559322033898306,0.4745762711864407,6.627602675379009e-09,9.00000000105121,9.00000000105121
0.013559322033898306,0.4915254237288136,6.942685184763313e-09,9.000000001346192,9.000000001346192
0.013559322033898306,0.5084745762711864,7.352769548472141e-09,9.000000001649834,9.000000001649834
0.013559322033898306,0.5254237288135594,7.872958366161798e-09,9.00000000196639,9.00000000196639
0.013559322033898306,0.5423728813559322,8.523840893093548e-09,9.000000002300474,9.000000002300474
0.013559322033898306,0.559322033898305,9.333107851890785e-09,9.000000002657245,9.000000002657245
0.013559322033898306,0.576271186440678,1.0337901381546014e-08,9.00000000304286,9.00000000304286
0.013559322033898306,0.5932203389830508,1.158823559356615e-08,9.000000003463606,9.000000003463606
0.013559322033898306,0.6101694915254238,1.315195490088767e-08,9.000000003927894,9.000000003927894
0.013559322033898306,0.6271186440677966,1.5122092878773073e-08,9.000000004445564,9.000000004445564
0.013559322033898306,0.6440677966101694,1.7627955028155044e-08,9.000000005028701,9.000000005028701
0.013559322033898306,0.6610169491525424,2.08520423934755e-08,9.00000000569256,9.00000000569256
0.013559322033898306,0.6779661016949152,2.505654897220559e-08,9.000000006456416,9.000000006456416
0.013559322033898306,0.6949152542372882,3.0625864457344186e-08,9.000000007344779,9.000000007344779
0.013559322033898306,0.711864406779661,3.813622312175727e-08,9.000000008390321,9.000000008390321
0.013559322033898306,0.7288135593220338,4.84739081490371e-08,9.000000009636915,9.000000009636915
0.013559322033898306,0.7457627118644068,6.304185402892079e-08,9.000000011143468,9.000000011143468
0.013559322033898306,0.7627118644067796,8.413532086501469e-08,9.00000001299325,9.00000001299325
0.013559322033898306,0.7796610169491526,1.156546182419273e-07,9.00000001530502,9.00000001530502
0.013559322033898306,0.7966101694915254,1.645274970466433e-07,9.00000001825403,9.00000001825403
0.013559322033898306,0.8135593220338984,2.437197737162373e-07,9.000000022109534,9.000000022109534
0.013559322033898306,0.8305084745762712,3.790753147743762e-07,9.000000027302756,9.000000027302756
0.013559322033898306,0.847457627118644,6.262584515768932e-07,9.000000034564964,9.000000034564964
0.013559322033898306,0.864406779661017,1.117551287961242e-06,9.000000045230262,9.000000045230262
0.013559322033898306,0.8813559322033898,2.210950346095974e-06,9.000000061988862,9.000000061988862
0.013559322033898306,0.8983050847457628,5.0696061470958605e-06,9.000000091133343,9.000000091133343
0.013559322033898306,0.9152542372881356,1.4718905761785079e-05,9.000000151562947,9.000000151562947
0.013559322033898306,0.9322033898305084,6.892171605753312e-05,9.00000034365813,9.00000034365813
0.013559322033898306,0.9491525423728814,0.00924602953850427,9.999828300924742,9.999828300924742
0.013559322033898306,0.9661016949152542,0.0055473984451985744,11.000047745715372,11.000047745715372
0.013559322033898306,0.9830508474576272,0.004546116673982064,12.000034950226318,12.000034950226318
0.013559322033898306,1.0,0.005115071670035063,13.999952582491215,13.999952582491215
0.0,0.0,0.017215009972737127,4.804906667161835,4.804906667161835
0.0,0.01694915254237288,1.8313306198874527e-14,9.0,9.0
0.0,0.03389830508474576,3.820349109769319e-15,9.0,9.0
0.0,0.05084745762711865,2.5405003942029173e-15,9.0,9.0
0.0,0.06779661016949153,4.297451622380188e-15,9.0,9.0
