J,mu,phi,<n>,<dN^2>
0.0,0.0,0.010035123675241819,8.54189689281803,8.54189689281803
0.0,0.01694915254237288,5.236596151886989e-16,9.0,9.0
0.0,0.03389830508474576,1.8803030660760453e-17,9.0,9.0
0.0,0.05084745762711865,1.5124145501069646e-16,9.0,9.0
0.0,0.06779661016949153,3.21351090599341e-16,9.0,9.0
0.0,0.0847457627118644,6.178425864549236e-17,9.0,9.0
0.0,0.1016949152542373,1.8520085879318365e-16,9.0,9.0
0.0,0.11864406779661017,2.0130596466335292e-16,9.0,9.0
0.0,0.13559322033898305,7.957116226447243e-17,9.0,9.0
0.0,0.15254237288135594,2.2831897878537806e-16,9.0,9.0
0.0,0.1694915254237288,1.159532781563944e-16,9.0,9.0
0.0,0.1864406779661017,9.842169192242269e-17,9.0,9.0
0.0,0.2033898305084746,1.3387442735931926e-15,9.0,9.0
0.0,0.22033898305084745,2.0770710487249602e-16,9.0,9.0
0.0,0.23728813559322035,5.971694687240461e-16,9.0,9.0
0.0,0.2542372881355932,5.747911304809799e-16,9.0,9.0
0.0,0.2711864406779661,3.189900299115304e-16,9.0,9.0
0.0,0.288135593220339,5.687587729808678e-17,9.0,9.0
0.0,0.3050847457627119,1.36671405831864e-16,9.0,9.0
0.0,0.3220338983050847,3.0310463297229303e-16,9.0,9.0
0.0,0.3389830508474576,7.327360242969912e-17,9.0,9.0
0.0,0.3559322033898305,3.2876496415885486e-16,9.0,9.0
0.0,0.3728813559322034,6.472619958205963e-16,9.0,9.0
0.0,0.3898305084745763,5.220909079309999e-16,9.0,9.0
0.0,0.4067796610169492,1.4046040312777467e-16,9.0,9.0
0.0,0.423728813559322,4.632343648179486e-16,9.0,9.0
0.0,0.4406779661016949,3.2165128039120334e-17,9.0,9.0
0.0,0.4576271186440678,1.5020211239798882e-16,9.0,9.0
0.0,0.4745762711864407,2.2540161830098237e-16,9.0,9.0
0.0,0.4915254237288136,5.092233841437533e-17,9.0,9.0
0.0,0.5084745762711864,2.023573601889539e-16,9.0,9.0
0.0,0.5254237288135594,2.2302251927386484e-16,9.0,9.0
0.0,0.5423728813559322,6.471471742097717e-17,9.0,9.0
0.0,0.559322033898305,7.707794673733143e-17,9.0,9.0
0.0,0.576271186440678,3.656148870340806e-16,9.0,9.0
0.0,0.5932203389830508,6.359816012411196e-16,9.0,9.0
0.0,0.6101694915254238,2.905132422302992e-16,9.0,9.0
0.0,0.6271186440677966,1.3941166161570977e-15,9.0,9.0
0.0,0.6440677966101694,1.099844038537966e-15,9.0,9.0
0.0,0.6610169491525424,1.4755071092953097e-16,9.0,9.0
0.0,0.6779661016949152,1.0722230374871212e-15,9.0,9.0
0.0,0.6949152542372882,1.6809045772939686e-15,9.0,9.0
0.0,0.711864406779661,1.5468236434051393e-15,9.0,9.0
0.0,0.7288135593220338,9.8014821484033e-16,9.0,9.0
0.0,0.7457627118644068,9.898961894955466e-16,9.0,9.0
0.0,0.7627118644067796,2.589770574708036e-15,9.0,9.0
0.0,0.7796610169491526,2.6132075244717466e-16,9.0,9.0
0.0,0.7966101694915254,4.494983655181952e-15,9.0,9.0
0.0,0.8135593220338984,3.2980776233393375e-15,9.0,9.0
0.0,0.8305084745762712,2.4575425886297502e-15,9.0,9.0
0.0,0.847457627118644,3.771104660394882e-15,9.0,9.0
