J,mu,phi,<n>,<dN^2>
0.0,0.0,0.006361322383258079,8.000186268858899,8.000186268858899
0.0,0.01694915254237288,3.047391068267498e-16,9.0,9.0
0.0,0.03389830508474576,1.6728274833564194e-15,9.0,9.0
0.0,0.05084745762711865,1.7322860511422908e-15,9.0,9.0
0.0,0.06779661016949153,3.338976697249986e-15,9.0,9.0
0.0,0.0847457627118644,1.4149438990068294e-15,9.0,9.0
0.0,0.1016949152542373,1.7730116286737107e-15,9.0,9.0
0.0,0.11864406779661017,7.266969455392045e-16,9.0,9.0
0.0,0.13559322033898305,1.9240709591215294e-17,9.0,9.0
0.0,0.15254237288135594,1.712344000093914e-15,9.0,9.0
0.0,0.1694915254237288,7.694612881703642e-17,9.0,9.0
0.0,0.1864406779661017,4.756898323987692e-16,9.0,9.0
0.0,0.2033898305084746,1.3387442735931926e-15,9.0,9.0
0.0,0.22033898305084745,1.3616502613598942e-16,9.0,9.0
0.0,0.23728813559322035,1.4370887149028169e-16,9.0,9.0
0.0,0.2542372881355932,2.116553211623968e-17,9.0,9.0
0.0,0.2711864406779661,1.3877171957736838e-16,9.0,9.0
0.0,0.288135593220339,1.410275487341646e-16,9.0,9.0
0.0,0.3050847457627119,6.401272389304448e-16,9.0,9.0
0.0,0.3220338983050847,2.7621120675438246e-16,9.0,9.0
0.0,0.3389830508474576,5.835205595462866e-16,9.0,9.0
0.0,0.3559322033898305,4.603945026665732e-17,9.0,9.0
0.0,0.3728813559322034,3.9524909740938254e-16,9.0,9.0
0.0,0.3898305084745763,4.765391390489603e-16,9.0,9.0
0.0,0.4067796610169492,4.562592580429378e-17,9.0,9.0
0.0,0.423728813559322,7.54428651625688e-17,9.0,9.0
0.0,0.4406779661016949,1.0831076015117743e-16,9.0,9.0
0.0,0.4576271186440678,1.3430930647043923e-16,9.0,9.0
0.0,0.4745762711864407,8.299873231268973e-16,9.0,9.0
0.0,0.4915254237288136,5.565691359056722e-16,9.0,9.0
0.0,0.5084745762711864,8.655693402438629e-16,9.0,9.0
0.0,0.5254237288135594,3.8847290041594885e-16,9.0,9.0
0.0,0.5423728813559322,1.1175087059285857e-15,9.0,9.0
0.0,0.559322033898305,1.0599608339749488e-15,9.0,9.0
0.0,0.576271186440678,1.9346785596068353e-15,9.0,9.0
0.0,0.5932203389830508,4.4405914821491073e-16,9.0,9.0
0.0,0.6101694915254238,3.93745881795307e-15,9.0,9.0
0.0,0.6271186440677966,1.3941166161570977e-15,9.0,9.0
0.0,0.6440677966101694,9.02325255509813e-17,9.0,9.0
0.0,0.6610169491525424,2.2496093782607226e-15,9.0,9.0
0.0,0.6779661016949152,2.557293671362692e-15,9.0,9.0
0.0,0.6949152542372882,8.448470573863971e-16,9.0,9.0
0.0,0.711864406779661,9.880620692824783e-16,9.0,9.0
0.0,0.7288135593220338,4.911457139443424e-16,9.0,9.0
0.0,0.7457627118644068,9.609300034020786e-16,9.0,9.0
0.0,0.7627118644067796,6.874233337537649e-16,9.0,9.0
0.0,0.7796610169491526,3.5079826224542144e-16,9.0,9.0
0.0,0.7966101694915254,3.263484828154075e-16,9.0,9.0
0.0,0.8135593220338984,5.025133662569079e-15,9.0,9.0
0.0,0.8305084745762712,2.355160286415346e-15,9.0,9.0
0.0,0.847457627118644,3.904204040445046e-15,9.0,9.0
0.0,0.864406779661017,1.4817468222923515e-15,9.0,9.0
0.0,0.8813559322033898,7.127220083024823e-17,9.0,9.0
0.0,0.8983050847457628,1.750730069352266e-15,9.0,9.0
0.0,0.9152542372881356,3.0601506324169796e-15,9.0,9.0
0.0,0.9322033898305084,8.764743271259355e-15,9.0,9.0
0.0,0.9491525423728814,5.807723791314117e-15,9.0,9.0
0.0,0.9661016949152542,2.774193114622812e-14,9.0,9.0
0.0,0.9830508474576272,2.0592258525563812e-14,9.0,9.0
0.0,1.0,0.0011909804892546256,9.99986718710512,9.99986718710512
0.0033898305084745766,0.0,3.1456346298474265e-07,8.00000000000049,8.00000000000049
0.0033898305084745766,0.01694915254237288,8.388714922792701e-10,8.999999999999948,8.999999999999948
0.0033898305084745766,0.03389830508474576,8.540088137168354e-13,9.000000000000027,9.000000000000027
0.0033898305084745766,0.05084745762711865,1.9470311271495097e-14,9.000000000000028,9.000000000000028
0.0033898305084745766,0.06779661016949153,1.8470789200455873e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.0847457627118644,4.565334674810914e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.1016949152542373,4.202513508610158e-17,9.000000000000028,9.000000000000028
0.0033898305084745766,0.11864406779661017,4.065760054808442e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.13559322033898305,7.601845356406806e-17,9.000000000000028,9.000000000000028
0.0033898305084745766,0.15254237288135594,4.356478192633806e-17,9.000000000000028,9.000000000000028
0.0033898305084745766,0.1694915254237288,3.0094098852976165e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.1864406779661017,6.380981005973385e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.2033898305084746,1.4100508507700381e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.22033898305084745,6.686148590557953e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.23728813559322035,1.5611904097699019e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.2542372881355932,2.794862007850631e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.2711864406779661,1.6848746975024959e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.288135593220339,2.349848427258405e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.3050847457627119,1.2694301430837588e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.3220338983050847,1.9832115219098933e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.3389830508474576,5.494894557030755e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.3559322033898305,4.1487894662792156e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.3728813559322034,1.470511961356014e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.3898305084745763,1.597362764157618e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.4067796610169492,4.784378726192687e-16,9.000000000000025,9.000000000000025
0.0033898305084745766,0.423728813559322,3.57314163320079e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.4406779661016949,3.1026831890917095e-16,9.000000000000025,9.000000000000025
0.0033898305084745766,0.4576271186440678,3.092207025129764e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.4745762711864407,1.5782816060235977e-15,9.000000000000025,9.000000000000025
0.0033898305084745766,0.4915254237288136,4.935968632265677e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.5084745762711864,1.9528088917588167e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.5254237288135594,2.1547752924394284e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.5423728813559322,2.7587968354487853e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.559322033898305,1.549363173715339e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.576271186440678,1.3727585324406903e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.5932203389830508,6.475797839185435e-16,9.000000000000028,9.000000000000028
0.0033898305084745766,0.6101694915254238,1.4530424990461538e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.6271186440677966,1.91873868644895e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.6440677966101694,4.69470611498624e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.6610169491525424,2.0344536037807071e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.6779661016949152,1.9915823256391914e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.6949152542372882,2.3831351490344583e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.711864406779661,1.1089801867034206e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.7288135593220338,1.3586448639035978e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.7457627118644068,8.181047135943966e-16,9.000000000000027,9.000000000000027
0.0033898305084745766,0.7627118644067796,1.2205920045202846e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.7796610169491526,2.5311753455976054e-15,9.000000000000025,9.000000000000025
0.0033898305084745766,0.7966101694915254,3.982604372366241e-15,9.000000000000025,9.000000000000025
0.0033898305084745766,0.8135593220338984,5.888644438866916e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.8305084745762712,8.120509517041144e-15,9.000000000000027,9.000000000000027
0.0033898305084745766,0.847457627118644,2.0672977270062657e-15,9.000000000000028,9.000000000000028
0.0033898305084745766,0.864406779661017,1.2713149759264472e-14,9.000000000000027,9.000000000000027
