J,mu,phi,<n>
0.0,0.0,0.0013745401047370984,7.7311296465100625
0.0,0.01694915254237288,2.0222527655853403e-15,12.0
0.0,0.03389830508474576,3.736694950176976e-15,12.0
0.0,0.05084745762711865,5.978883484085554e-15,12.0
0.0,0.06779661016949153,3.042780002594507e-15,12.0
0.0,0.0847457627118644,2.920861975567026e-16,12.0
0.0,0.1016949152542373,3.0465310032262033e-15,12.0
0.0,0.11864406779661017,3.718629791520174e-15,12.0
0.0,0.13559322033898305,5.9334860133445e-16,12.0
0.0,0.15254237288135594,3.167493669428143e-16,12.0
0.0,0.1694915254237288,6.943075957194631e-16,12.0
0.0,0.1864406779661017,6.308381548970313e-16,12.0
0.0,0.2033898305084746,9.6409258757735e-16,12.0
0.0,0.22033898305084745,4.080170716101227e-16,12.0
0.0,0.23728813559322035,2.3571345466615873e-15,12.0
0.0,0.2542372881355932,1.0161640214799813e-15,12.0
0.0,0.2711864406779661,1.050584039488782e-16,12.0
0.0,0.288135593220339,5.988275266931351e-17,12.0
0.0,0.3050847457627119,6.640860284333356e-16,12.0
0.0,0.3220338983050847,1.6980574435336116e-15,12.0
0.0,0.3389830508474576,8.603847709339663e-16,12.0
0.0,0.3559322033898305,1.3870258512514059e-15,12.0
0.0,0.3728813559322034,4.055009925018898e-16,12.0
0.0,0.3898305084745763,4.762892908680967e-16,12.0
0.0,0.4067796610169492,9.829711961781008e-17,12.0
0.0,0.423728813559322,1.9562283051654109e-16,12.0
0.0,0.4406779661016949,3.689177095189273e-17,12.0
0.0,0.4576271186440678,2.7768755064983307e-16,12.0
0.0,0.4745762711864407,5.242724826413205e-17,12.0
0.0,0.4915254237288136,6.008415380374247e-16,12.0
0.0,0.5084745762711864,1.3534052575977496e-16,12.0
0.0,0.5254237288135594,6.724238672857548e-16,12.0
0.0,0.5423728813559322,4.143826727042219e-17,12.0
0.0,0.559322033898305,9.061695823782113e-16,12.0
0.0,0.576271186440678,2.714146682109789e-15,12.0
0.0,0.5932203389830508,1.2753487868482963e-15,12.0
0.0,0.6101694915254238,6.528982703575838e-16,12.0
0.0,0.6271186440677966,2.6639462153002287e-15,12.0
0.0,0.6440677966101694,1.3290344888680637e-15,12.0
0.0,0.6610169491525424,2.348493531395875e-15,12.0
0.0,0.6779661016949152,1.056698350528696e-15,12.0
0.0,0.6949152542372882,7.545936232424067e-16,12.0
0.0,0.711864406779661,4.788379034973456e-15,12.0
0.0,0.7288135593220338,5.623360861406192e-16,12.0
0.0,0.7457627118644068,9.139872354345876e-16,12.0
0.0,0.7627118644067796,4.1177852300736494e-16,12.0
0.0,0.7796610169491526,7.864093810733226e-16,12.0
0.0,0.7966101694915254,1.0388605124599443e-14,12.0
0.0,0.8135593220338984,1.1129411377319439e-14,12.0
0.0,0.8305084745762712,2.928739239226515e-15,12.0
0.0,0.847457627118644,1.6000618352370778e-15,12.0
0.0,0.864406779661017,2.4394631941875725e-14,12.0
0.0,0.8813559322033898,1.1185421575824092e-15,12.0
0.0,0.8983050847457628,8.357817866315611e-16,12.0
0.0,0.9152542372881356,6.191392764497585e-14,12.0
0.0,0.9322033898305084,4.653796509874007e-14,12.0
0.0,0.9491525423728814,3.0915970156473396e-14,12.0
0.0,0.9661016949152542,1.200078844844207e-14,12.0
0.0,0.9830508474576272,2.2616495003493505e-13,12.0
0.0,1.0,0.0012290002110699853,16.246497161575057
0.0011299435028248588,0.0,0.00796338286915005,7.000244171485957
0.0011299435028248588,0.01694915254237288,0.00020047416645948852,11.999999361673309
0.0011299435028248588,0.03389830508474576,8.583982329500884e-05,11.999999876571595
0.0011299435028248588,0.05084745762711865,5.5806022293086425e-05,11.999999949363664
0.0011299435028248588,0.06779661016949153,4.207251086333551e-05,11.999999972683456
0.0011299435028248588,0.0847457627118644,3.42379553311884e-05,11.999999983005212
0.0011299435028248588,0.1016949152542373,2.9195834473856027e-05,11.999999988464536
0.0011299435028248588,0.11864406779661017,2.5695474415186796e-05,11.999999991700212
0.0011299435028248588,0.13559322033898305,2.3136749870468095e-05,11.99999999377678
0.0011299435028248588,0.15254237288135594,2.1195952669023034e-05,11.99999999519051
0.0011299435028248588,0.1694915254237288,1.968317963635227e-05,11.999999996198115
0.0011299435028248588,0.1864406779661017,1.8479747488051935e-05,11.99999999694319
0.0011299435028248588,0.2033898305084746,1.7507732040545434e-05,11.999999997511233
0.0011299435028248588,0.22033898305084745,1.6713913709691293e-05,11.999999997955744
0.0011299435028248588,0.23728813559322035,1.606076299893195e-05,11.999999998311607
0.0011299435028248588,0.2542372881355932,1.552111092581179e-05,11.999999998602316
0.0011299435028248588,0.2711864406779661,1.5074860224196286e-05,11.999999998844244
0.0011299435028248588,0.288135593220339,1.470688143862607e-05,11.999999999049155
0.0011299435028248588,0.3050847457627119,1.4405625194080281e-05,11.999999999225581
0.0011299435028248588,0.3220338983050847,1.4162182676961551e-05,11.999999999379805
0.0011299435028248588,0.3389830508474576,1.3969635352204473e-05,11.99999999951675
0.0011299435028248588,0.3559322033898305,1.3822596524459824e-05,11.999999999640272
0.0011299435028248588,0.3728813559322034,1.3716883368346876e-05,11.999999999753543
0.0011299435028248588,0.3898305084745763,1.3649279855125682e-05,11.999999999858748
0.0011299435028248588,0.4067796610169492,1.3617364477256595e-05,11.999999999958046
0.0011299435028248588,0.423728813559322,1.3619385403386049e-05,12.000000000053195
0.0011299435028248588,0.4406779661016949,1.3654171207436347e-05,12.000000000145715
0.0011299435028248588,0.4576271186440678,1.3721069275365693e-05,12.000000000237431
0.0011299435028248588,0.4745762711864407,1.3819906570400505e-05,12.000000000328866
0.0011299435028248588,0.4915254237288136,1.3950969320038627e-05,12.0000000004218
0.0011299435028248588,0.5084745762711864,1.4114999784644436e-05,12.000000000517366
0.0011299435028248588,0.5254237288135594,1.4313209374254418e-05,12.000000000617046
0.0011299435028248588,0.5423728813559322,1.454730857454811e-05,12.000000000722206
0.0011299435028248588,0.559322033898305,1.4819555208807572e-05,12.000000000834488
0.0011299435028248588,0.576271186440678,1.513282389965709e-05,12.000000000955849
0.0011299435028248588,0.5932203389830508,1.5490701087526893e-05,12.000000001088642
0.0011299435028248588,0.6101694915254238,1.5897612077420195e-05,12.000000001234715
0.0011299435028248588,0.6271186440677966,1.6358989220349215e-05,12.000000001397652
0.0011299435028248588,0.6440677966101694,1.688149437688148e-05,12.000000001581522
0.0011299435028248588,0.6610169491525424,1.7473314328438204e-05,12.000000001790182
0.0011299435028248588,0.6779661016949152,1.814455620018069e-05,12.000000002029951
0.0011299435028248588,0.6949152542372882,1.8907782536269183e-05,12.000000002309017
0.0011299435028248588,0.711864406779661,1.9778745185548704e-05,12.000000002636598
0.0011299435028248588,0.7288135593220338,2.077740798730796e-05,12.000000003026368
0.0011299435028248588,0.7457627118644068,2.192939846217195e-05,12.000000003496126
0.0011299435028248588,0.7627118644067796,2.3268112497813733e-05,12.000000004070534
0.0011299435028248588,0.7796610169491526,2.483784073932966e-05,12.000000004784141
0.0011299435028248588,0.7966101694915254,2.669854446688354e-05,12.00000000568798
0.0011299435028248588,0.8135593220338984,2.8933391596213053e-05,12.000000006856968
0.0011299435028248588,0.8305084745762712,3.166110918580641e-05,12.00000000840793
0.0011299435028248588,0.847457627118644,3.505716574037527e-05,12.000000010529035
0.0011299435028248588,0.864406779661017,3.939213032750026e-05,12.00000001354088
0.0011299435028248588,0.8813559322033898,4.510596585868153e-05,12.000000018024222
0.0011299435028248588,0.8983050847457628,5.296468718156751e-05,12.000000025125859
0.0011299435028248588,0.9152542372881356,6.442967356145866e-05,12.000000037371247
0.0011299435028248588,0.9322033898305084,8.267291233451344e-05,12.000000061273461
0.0011299435028248588,0.9491525423728814,0.0001160844910938329,12.000000118227188
0.0011299435028248588,0.9661016949152542,0.00019615761112884314,12.000000316930965
0.0011299435028248588,0.9830508474576272,0.0006108088751311656,12.00000246310739
0.0011299435028248588,1.0,0.007915752797330856,16.999880786051556
0.0022598870056497176,0.0,0.007963448188438922,7.0002441747831945
0.0022598870056497176,0.01694915254237288,0.0006363938498097453,11.999994957088754
0.0022598870056497176,0.03389830508474576,0.0002098429943070279,11.999999352684336
0.0022598870056497176,0.05084745762711865,0.00012739014711635638,11.999999759118198
0.0022598870056497176,0.06779661016949153,9.303777585194136e-05,11.999999875585937
0.0022598870056497176,0.0847457627118644,7.434020926263978e-05,11.999999924474038
0.0022598870056497176,0.1016949152542373,6.264545117307883e-05,11.999999949533725
0.0022598870056497176,0.11864406779661017,5.4680786984332545e-05,11.999999964081166
0.0022598870056497176,0.13559322033898305,4.893803143412835e-05,11.99999997328029
0.0022598870056497176,0.15254237288135594,4.4626603982642345e-05,11.999999979473323
0.0022598870056497176,0.1694915254237288,4.129253008030715e-05,11.999999983848982
0.0022598870056497176,0.1864406779661017,3.8656773905068804e-05,11.999999987062132
0.0022598870056497176,0.2033898305084746,3.6538553085072073e-05,11.9999999894977
0.0022598870056497176,0.22033898305084745,3.481573827176378e-05,11.999999991394665
0.0022598870056497176,0.23728813559322035,3.340298431908725e-05,11.999999992906877
0.0022598870056497176,0.2542372881355932,3.2238978551577177e-05,11.999999994137966
0.0022598870056497176,0.2711864406779661,3.1278663346485794e-05,11.999999995159559
0.0022598870056497176,0.288135593220339,3.048831022814423e-05,11.999999996022051
0.0022598870056497176,0.3050847457627119,2.9842298920708088e-05,11.99999999676297
0.0022598870056497176,0.3220338983050847,2.9320953046568815e-05,11.999999997409684
0.0022598870056497176,0.3389830508474576,2.8909052272132366e-05,11.999999997983274
0.0022598870056497176,0.3559322033898305,2.8594789457469887e-05,11.999999998499561
0.0022598870056497176,0.3728813559322034,2.8369028774535027e-05,11.999999998972163
0.0022598870056497176,0.3898305084745763,2.8224771956033387e-05,11.999999999411049
0.0022598870056497176,0.4067796610169492,2.815677243959339e-05,11.99999999982546
0.0022598870056497176,0.423728813559322,2.816125697538127e-05,12.000000000222222
0.0022598870056497176,0.4406779661016949,2.8235727846990706e-05,12.000000000608381
0.0022598870056497176,0.4576271186440678,2.837882741380229e-05,12.00000000098988
0.0022598870056497176,0.4745762711864407,2.8590253105431107e-05,12.000000001371975
0.0022598870056497176,0.4915254237288136,2.8870715123190465e-05,12.00000000176057
0.0022598870056497176,0.5084745762711864,2.922193288056247e-05,12.000000002160968
0.0022598870056497176,0.5254237288135594,2.9646668685696957e-05,12.00000000257921
0.0022598870056497176,0.5423728813559322,3.0148800109808282e-05,12.000000003021198
0.0022598870056497176,0.559322033898305,3.073343492301067e-05,12.000000003494295
