J,mu,phi,<n>,<dN^2>
0.0,0.0,0.03075941069634483,13.23209806580165,13.23209806580165
0.0,0.01694915254237288,3.7782194094563654e-14,16.0,16.0
0.0,0.03389830508474576,1.0225411922206336e-13,16.0,16.0
0.0,0.05084745762711865,3.4660776888506583e-14,16.0,16.0
0.0,0.06779661016949153,5.768299736367818e-14,16.0,16.0
0.0,0.0847457627118644,1.3343987085779883e-14,16.0,16.0
0.0,0.1016949152542373,1.0320778619193774e-14,16.0,16.0
0.0,0.11864406779661017,8.024293245696209e-15,16.0,16.0
0.0,0.13559322033898305,1.9771019840967976e-16,16.0,16.0
0.0,0.15254237288135594,2.276194644799297e-16,16.0,16.0
0.0,0.1694915254237288,2.7504078202499207e-15,16.0,16.0
0.0,0.1864406779661017,7.389881383609676e-16,16.0,16.0
0.0,0.2033898305084746,1.6388489914572884e-15,16.0,16.0
0.0,0.22033898305084745,3.2661634265947024e-16,16.0,16.0
0.0,0.23728813559322035,2.0533468912258834e-15,16.0,16.0
0.0,0.2542372881355932,1.7123980408341932e-16,16.0,16.0
0.0,0.2711864406779661,7.797222851209205e-16,16.0,16.0
0.0,0.288135593220339,1.2802505985568892e-15,16.0,16.0
0.0,0.3050847457627119,6.261665937998571e-16,16.0,16.0
0.0,0.3220338983050847,7.559298326993595e-16,16.0,16.0
0.0,0.3389830508474576,1.9290803627854613e-15,16.0,16.0
0.0,0.3559322033898305,1.417966293659576e-15,16.0,16.0
0.0,0.3728813559322034,2.1381366844255862e-16,16.0,16.0
0.0,0.3898305084745763,2.2568483756608516e-16,16.0,16.0
0.0,0.4067796610169492,1.6305324794789128e-15,16.0,16.0
0.0,0.423728813559322,8.973486906487096e-16,16.0,16.0
0.0,0.4406779661016949,7.2663589344636375e-16,16.0,16.0
0.0,0.4576271186440678,3.293247604286498e-16,16.0,16.0
0.0,0.4745762711864407,7.140411868654992e-16,16.0,16.0
0.0,0.4915254237288136,8.821034802990503e-16,16.0,16.0
0.0,0.5084745762711864,1.0610245402806712e-15,16.0,16.0
0.0,0.5254237288135594,2.4052367184803914e-15,16.0,16.0
0.0,0.5423728813559322,1.0770481688062536e-15,16.0,16.0
0.0,0.559322033898305,4.324578588495457e-15,16.0,16.0
0.0,0.576271186440678,3.212376873261882e-15,16.0,16.0
0.0,0.5932203389830508,2.522566112843788e-15,16.0,16.0
0.0,0.6101694915254238,7.727483974569404e-16,16.0,16.0
0.0,0.6271186440677966,3.800197529647677e-16,16.0,16.0
0.0,0.6440677966101694,6.963886919716133e-16,16.0,16.0
0.0,0.6610169491525424,9.809388956917517e-16,16.0,16.0
0.0,0.6779661016949152,9.82780170943332e-16,16.0,16.0
0.0,0.6949152542372882,2.0494553997369453e-15,16.0,16.0
0.0,0.711864406779661,5.327340005865927e-16,16.0,16.0
0.0,0.7288135593220338,9.249262813141812e-16,16.0,16.0
0.0,0.7457627118644068,1.28861216694659e-15,16.0,16.0
0.0,0.7627118644067796,1.4141953765398954e-16,16.0,16.0
0.0,0.7796610169491526,9.283628668237954e-16,16.0,16.0
0.0,0.7966101694915254,5.509990739292266e-17,16.0,16.0
0.0,0.8135593220338984,2.1335323836873115e-15,16.0,16.0
0.0,0.8305084745762712,5.099967354993224e-15,16.0,16.0
0.0,0.847457627118644,1.4860637904754516e-14,16.0,16.0
0.0,0.864406779661017,1.0079378997878358e-14,16.0,16.0
0.0,0.8813559322033898,9.632390895568587e-15,16.0,16.0
0.0,0.8983050847457628,9.932240691837687e-15,16.0,16.0
0.0,0.9152542372881356,1.6525472241271815e-14,16.0,16.0
0.0,0.9322033898305084,4.5803864224635946e-15,16.0,16.0
0.0,0.9491525423728814,1.1987461076633892e-14,16.0,16.0
0.0,0.9661016949152542,1.0329775390929431e-14,16.0,16.0
0.0,0.9830508474576272,1.0765853754458141e-13,16.0,16.0
0.0,1.0,0.004573069758159782,18.720604687685817,18.720604687685817
0.0022598870056497176,0.0,0.0010067116918554926,13.000005495783977,13.000005495783977
0.0022598870056497176,0.01694915254237288,2.0323326787336837e-05,15.999999636550314,15.999999636550314
0.0022598870056497176,0.03389830508474576,2.402559362610638e-06,15.999999932260646,15.999999932260646
0.0022598870056497176,0.05084745762711865,7.591548940237503e-07,15.999999972352004,15.999999972352004
0.0022598870056497176,0.06779661016949153,3.4898653852548324e-07,15.999999985106134,15.999999985106134
0.0022598870056497176,0.0847457627118644,1.9617809536434307e-07,15.999999990738582,15.999999990738582
0.0022598870056497176,0.1016949152542373,1.2509780911034536e-07,15.999999993714793,15.999999993714793
0.0022598870056497176,0.11864406779661017,8.699209834326958e-08,15.999999995478019,15.999999995478019
0.0022598870056497176,0.13559322033898305,6.444919909245954e-08,15.999999996609345,15.999999996609345
0.0022598870056497176,0.15254237288135594,5.0116481636693327e-08,15.99999999737948,15.99999999737948
0.0022598870056497176,0.1694915254237288,4.049209234238044e-08,15.999999997928336,15.999999997928336
0.0022598870056497176,0.1864406779661017,3.3749509525351605e-08,15.999999998334774,15.999999998334774
0.0022598870056497176,0.2033898305084746,2.8865786863244165e-08,15.999999998644144,15.999999998644144
0.0022598870056497176,0.22033898305084745,2.52343153385161e-08,15.999999998886278,15.999999998886278
0.0022598870056497176,0.23728813559322035,2.2478128230002885e-08,15.999999999080075,15.999999999080075
0.0022598870056497176,0.2542372881355932,2.0353698722221952e-08,15.999999999238403,15.999999999238403
0.0022598870056497176,0.2711864406779661,1.8698510797213593e-08,15.99999999937019,15.99999999937019
0.0022598870056497176,0.288135593220339,1.7401152178333582e-08,15.999999999481751,15.999999999481751
0.0022598870056497176,0.3050847457627119,1.63835494493455e-08,15.999999999577767,15.999999999577767
0.0022598870056497176,0.3220338983050847,1.5590015675791212e-08,15.99999999966174,15.99999999966174
0.0022598870056497176,0.3389830508474576,1.498035353137866e-08,15.999999999736305,15.999999999736305
0.0022598870056497176,0.3559322033898305,1.45253602108986e-08,15.999999999803599,15.999999999803599
0.0022598870056497176,0.3728813559322034,1.4203877537545175e-08,15.999999999865784,15.999999999865784
0.0022598870056497176,0.3898305084745763,1.400076710411516e-08,15.999999999923036,15.999999999923036
0.0022598870056497176,0.4067796610169492,1.3905594756957977e-08,15.999999999977048,15.999999999977048
0.0022598870056497176,0.423728813559322,1.3911737637490945e-08,16.00000000002891,16.00000000002891
0.0022598870056497176,0.4406779661016949,1.401576846984572e-08,16.000000000079233,16.000000000079233
0.0022598870056497176,0.4576271186440678,1.4217131422848402e-08,16.000000000129198,16.000000000129198
0.0022598870056497176,0.4745762711864407,1.4517997452495848e-08,16.00000000017914,16.00000000017914
0.0022598870056497176,0.4915254237288136,1.4923247072238593e-08,16.00000000022959,16.00000000022959
0.0022598870056497176,0.5084745762711864,1.544063143939167e-08,16.000000000281535,16.000000000281535
0.0022598870056497176,0.5254237288135594,1.6081128840224607e-08,16.000000000336183,16.000000000336183
0.0022598870056497176,0.5423728813559322,1.6859433445824725e-08,16.000000000393445,16.000000000393445
0.0022598870056497176,0.559322033898305,1.7794712309240756e-08,16.000000000454563,16.000000000454563
0.0022598870056497176,0.576271186440678,1.8911667459132426e-08,16.000000000520938,16.000000000520938
0.0022598870056497176,0.5932203389830508,2.024197547603079e-08,16.000000000592827,16.000000000592827
0.0022598870056497176,0.6101694915254238,2.1826254234971917e-08,16.000000000672625,16.000000000672625
0.0022598870056497176,0.6271186440677966,2.3716897031412055e-08,16.000000000761585,16.000000000761585
0.0022598870056497176,0.6440677966101694,2.5981903705221738e-08,16.000000000861366,16.000000000861366
0.0022598870056497176,0.6610169491525424,2.8710399531638282e-08,16.000000000975206,16.000000000975206
0.0022598870056497176,0.6779661016949152,3.202050770280361e-08,16.000000001106006,16.000000001106006
0.0022598870056497176,0.6949152542372882,3.6070958298232895e-08,16.00000000125798,16.00000000125798
0.0022598870056497176,0.711864406779661,4.107827566739564e-08,16.00000000143647,16.00000000143647
0.0022598870056497176,0.7288135593220338,4.734312851210284e-08,16.0000000016491,16.0000000016491
0.0022598870056497176,0.7457627118644068,5.5291301868269475e-08,16.000000001905054,16.000000001905054
0.0022598870056497176,0.7627118644067796,6.553969593557361e-08,16.00000000221819,16.00000000221819
0.0022598870056497176,0.7796610169491526,7.900533398904488e-08,16.00000000260752,16.00000000260752
0.0022598870056497176,0.7966101694915254,9.709292950460125e-08,16.00000000310002,16.00000000310002
0.0022598870056497176,0.8135593220338984,1.2202989512771725e-07,16.00000000373741,16.00000000373741
0.0022598870056497176,0.8305084745762712,1.5749555507408632e-07,16.00000000458371,16.00000000458371
0.0022598870056497176,0.847457627118644,2.0987109454464328e-07,16.000000005741313,16.000000005741313
0.0022598870056497176,0.864406779661017,2.908999585346657e-07,16.000000007386216,16.000000007386216
0.0022598870056497176,0.8813559322033898,4.238483092303511e-07,16.000000009837777,16.000000009837777
0.0022598870056497176,0.8983050847457628,6.59377597909497e-07,16.000000013727103,16.000000013727103
0.0022598870056497176,0.9152542372881356,1.1225917929285833e-06,16.000000020453527,16.000000020453527
0.0022598870056497176,0.9322033898305084,2.1822955432340105e-06,16.00000003365629,16.00000003365629
0.0022598870056497176,0.9491525423728814,5.265778133610463e-06,16.000000065502856,16.000000065502856
0.0022598870056497176,0.9661016949152542,1.940208971734855e-05,16.00000018078357,16.00000018078357
0.0022598870056497176,0.9830508474576272,0.0002797928739941433,16.000001887718113,16.000001887718113
0.0022598870056497176,1.0,0.000996985040398267,18.999997315899424,18.999997315899424
0.004519774011299435,0.0,0.0010360074539426962,13.000005691411662,13.000005691411662
0.004519774011299435,0.01694915254237288,0.00029412498358591795,15.99999618475993,15.99999618475993
0.004519774011299435,0.03389830508474576,2.2455265802116216e-05,15.999999632223856,15.999999632223856
0.004519774011299435,0.05084745762711865,6.598934958435022e-06,15.99999986688067,15.99999986688067
0.004519774011299435,0.06779661016949153,2.9521763069930196e-06,15.999999931795658,15.999999931795658
0.004519774011299435,0.0847457627118644,1.6370146154282132e-06,15.999999958732205,15.999999958732205
0.004519774011299435,0.1016949152542373,1.0355409397599546e-06,15.999999972468865,15.999999972468865
0.004519774011299435,0.11864406779661017,7.163751004273837e-07,15.99999998042204,15.99999998042204
0.004519774011299435,0.13559322033898305,5.288305326311307e-07,15.999999985443448,15.999999985443448
0.004519774011299435,0.15254237288135594,4.1015390404755516e-07,15.999999988820948,15.999999988820948
0.004519774011299435,0.1694915254237288,3.307394810866218e-07,15.999999991205891,15.999999991205891
0.004519774011299435,0.1864406779661017,2.752505139844961e-07,15.999999992956434,15.999999992956434
0.004519774011299435,0.2033898305084746,2.3514170747586253e-07,15.999999994283002,15.999999994283002
0.004519774011299435,0.22033898305084745,2.0536588646509629e-07,15.999999995315846,15.999999995315846
0.004519774011299435,0.23728813559322035,1.827965377391514e-07,15.99999999613914,15.99999999613914
0.004519774011299435,0.2542372881355932,1.6541905578632056e-07,15.999999996809867,15.999999996809867
0.004519774011299435,0.2711864406779661,1.518919222272297e-07,15.999999997365762,15.999999997365762
0.004519774011299435,0.288135593220339,1.4129711595037832e-07,15.999999997835712,15.999999997835712
0.004519774011299435,0.3050847457627119,1.329921820355526e-07,15.999999998238682,15.999999998238682
0.004519774011299435,0.3220338983050847,1.2651958126928854e-07,15.999999998590887,15.999999998590887
0.004519774011299435,0.3389830508474576,1.21549375670375e-07,15.999999998903125,15.999999998903125
0.004519774011299435,0.3559322033898305,1.1784214122872318e-07,15.999999999184292,15.999999999184292
0.004519774011299435,0.3728813559322034,1.1522446711214908e-07,15.999999999441695,15.999999999441695
0.004519774011299435,0.3898305084745763,1.1357254431714755e-07,15.999999999680774,15.999999999680774
0.004519774011299435,0.4067796610169492,1.1280109936443388e-07,15.999999999906215,15.999999999906215
0.004519774011299435,0.423728813559322,1.1285601745954336e-07,16.000000000122355,16.000000000122355
0.004519774011299435,0.4406779661016949,1.1370955891662592e-07,16.00000000033268,16.00000000033268
0.004519774011299435,0.4576271186440678,1.1535751739432698e-07,16.000000000540517,16.000000000540517
0.004519774011299435,0.4745762711864407,1.178179541755217e-07,16.000000000748763,16.000000000748763
0.004519774011299435,0.4915254237288136,1.2113127352173316e-07,16.00000000096027,16.00000000096027
0.004519774011299435,0.5084745762711864,1.253616015564585e-07,16.0000000011783,16.0000000011783
0.004519774011299435,0.5254237288135594,1.3059952900063967e-07,16.000000001406207,16.000000001406207
0.004519774011299435,0.5423728813559322,1.3696643014021493e-07,16.000000001647013,16.000000001647013
0.004519774011299435,0.559322033898305,1.446207175994338e-07,16.000000001904905,16.000000001904905
0.004519774011299435,0.576271186440678,1.537666019771923e-07,16.00000000218402,16.00000000218402
0.004519774011299435,0.5932203389830508,1.6466620774152518e-07,16.000000002489287,16.000000002489287
0.004519774011299435,0.6101694915254238,1.776563253933216e-07,16.000000002827356,16.000000002827356
0.004519774011299435,0.6271186440677966,1.9317167410666073e-07,16.00000000320522,16.00000000320522
0.004519774011299435,0.6440677966101694,2.1177754760157355e-07,16.00000000363206,16.00000000363206
0.004519774011299435,0.6610169491525424,2.3421617045047165e-07,16.000000004119617,16.000000004119617
0.004519774011299435,0.6779661016949152,2.614736069645367e-07,16.000000004682118,16.000000004682118
0.004519774011299435,0.6949152542372882,2.9487794635974793e-07,16.000000005338563,16.000000005338563
0.004519774011299435,0.711864406779661,3.362463160243285e-07,16.000000006113638,16.000000006113638
0.004519774011299435,0.7288135593220338,3.881099885359691e-07,16.00000000704064,16.00000000704064
