J,mu,phi,<n>
0.0,0.0,0.0012243530837544932,10.395869089247732
0.0,0.01694915254237288,3.78697458751939e-15,15.0
0.0,0.03389830508474576,8.819990183921517e-15,15.0
0.0,0.05084745762711865,4.618578350623985e-15,15.0
0.0,0.06779661016949153,7.642662841270568e-16,15.0
0.0,0.0847457627118644,3.9743769544372395e-15,15.0
0.0,0.1016949152542373,7.30573940108321e-17,15.0
0.0,0.11864406779661017,1.6144718454316127e-15,15.0
0.0,0.13559322033898305,2.5900016090165395e-16,15.0
0.0,0.15254237288135594,3.117074396195973e-16,15.0
0.0,0.1694915254237288,2.3374187222420356e-16,15.0
0.0,0.1864406779661017,9.581278405433044e-17,15.0
0.0,0.2033898305084746,1.757757021001697e-18,15.0
0.0,0.22033898305084745,1.2572540672789148e-16,15.0
0.0,0.23728813559322035,2.709692581375266e-16,15.0
0.0,0.2542372881355932,2.0921306494691577e-17,15.0
0.0,0.2711864406779661,2.9537050323711076e-16,15.0
0.0,0.288135593220339,1.7733832735359187e-16,15.0
0.0,0.3050847457627119,1.4048499985690064e-16,15.0
0.0,0.3220338983050847,2.278026232508531e-16,15.0
0.0,0.3389830508474576,4.741961794581047e-18,15.0
0.0,0.3559322033898305,2.214376139386593e-16,15.0
0.0,0.3728813559322034,5.391584807935397e-19,15.0
0.0,0.3898305084745763,9.775991496913442e-17,15.0
0.0,0.4067796610169492,1.164915647556157e-15,15.0
0.0,0.423728813559322,2.5456013955853584e-15,15.0
0.0,0.4406779661016949,2.733289554682851e-15,15.0
0.0,0.4576271186440678,1.5795576984026505e-15,15.0
0.0,0.4745762711864407,4.293526090112815e-16,15.0
0.0,0.4915254237288136,6.846704695842611e-15,15.0
0.0,0.5084745762711864,4.270197626155811e-15,15.0
0.0,0.5254237288135594,6.599004525147318e-16,15.0
0.0,0.5423728813559322,1.6687185300429055e-16,15.0
0.0,0.559322033898305,1.840676760875409e-15,15.0
0.0,0.576271186440678,2.487378853850607e-15,15.0
0.0,0.5932203389830508,3.4532339269906392e-15,15.0
0.0,0.6101694915254238,2.6521709088207075e-15,15.0
0.0,0.6271186440677966,4.427798067293543e-15,15.0
0.0,0.6440677966101694,5.364399331068064e-15,15.0
0.0,0.6610169491525424,5.190251824343059e-15,15.0
0.0,0.6779661016949152,3.0928852629478854e-15,15.0
0.0,0.6949152542372882,3.1395233674803644e-15,15.0
0.0,0.711864406779661,1.5213171819978788e-14,15.0
0.0,0.7288135593220338,7.707249913974115e-15,15.0
0.0,0.7457627118644068,1.873608559297431e-14,15.0
0.0,0.7627118644067796,1.2205637977225206e-14,15.0
0.0,0.7796610169491526,3.244310323943807e-15,15.0
0.0,0.7966101694915254,4.4912592379562914e-15,15.0
0.0,0.8135593220338984,2.1575869341925336e-15,15.0
0.0,0.8305084745762712,1.2007023483449365e-14,15.0
0.0,0.847457627118644,7.910883616645012e-15,15.0
0.0,0.864406779661017,1.0138778797707602e-14,15.0
0.0,0.8813559322033898,3.1569085931348927e-15,15.0
0.0,0.8983050847457628,3.382556094731599e-15,15.0
0.0,0.9152542372881356,8.793248613701203e-15,15.0
0.0,0.9322033898305084,1.5690575415378904e-14,15.0
0.0,0.9491525423728814,5.89639441764354e-14,15.0
0.0,0.9661016949152542,1.7978551490953414e-14,15.0
0.0,0.9830508474576272,1.0388855603076347e-13,15.0
0.0,1.0,0.006770661731258391,19.457567096579478
0.0016949152542372883,0.0,0.0006711735400500987,10.000002126241688
0.0016949152542372883,0.01694915254237288,6.713297230517211e-06,14.999999870313365
0.0016949152542372883,0.03389830508474576,7.35359439300978e-07,14.999999969569604
0.0016949152542372883,0.05084745762711865,2.2657766696227536e-07,14.999999986647765
0.0016949152542372883,0.06779661016949153,1.0283193011798759e-07,14.999999992549803
0.0016949152542372883,0.0847457627118644,5.73583586712069e-08,14.999999995270421
0.0016949152542372883,0.1016949152542373,3.638647330429406e-08,14.999999996746585
0.0016949152542372883,0.11864406779661017,2.5209352265861362e-08,14.999999997637078
0.0016949152542372883,0.13559322033898305,1.8625187263714182e-08,14.999999998215852
0.0016949152542372883,0.15254237288135594,1.4452425289662793e-08,14.999999998613761
0.0016949152542372883,0.1694915254237288,1.1657424778233294e-08,14.999999998899574
0.0016949152542372883,0.1864406779661017,9.703211370795577e-09,14.999999999112276
0.0016949152542372883,0.2033898305084746,8.29002519787186e-09,14.999999999275284
0.0016949152542372883,0.22033898305084745,7.240570437787958e-09,14.999999999403418
0.0016949152542372883,0.23728813559322035,6.444928705038056e-09,14.999999999506372
0.0016949152542372883,0.2542372881355932,5.832202079819246e-09,14.999999999590747
0.0016949152542372883,0.2711864406779661,5.355173033834875e-09,14.999999999661178
0.0016949152542372883,0.288135593220339,4.981490599624929e-09,14.999999999720945
0.0016949152542372883,0.3050847457627119,4.688539403782326e-09,14.999999999772612
0.0016949152542372883,0.3220338983050847,4.4601846213430705e-09,14.999999999817945
0.0016949152542372883,0.3389830508474576,4.284799118283419e-09,14.999999999858126
0.0016949152542372883,0.3559322033898305,4.1539418140990396e-09,14.999999999894413
0.0016949152542372883,0.3728813559322034,4.061491500701133e-09,14.99999999992765
0.0016949152542372883,0.3898305084745763,4.003086233592761e-09,14.999999999958579
0.0016949152542372883,0.4067796610169492,3.975716267558085e-09,14.99999999998779
0.0016949152542372883,0.423728813559322,3.977465255326532e-09,15.000000000016025
0.0016949152542372883,0.4406779661016949,4.007351083495882e-09,15.000000000043235
0.0016949152542372883,0.4576271186440678,4.065222545304512e-09,15.000000000070074
0.0016949152542372883,0.4745762711864407,4.151708174856463e-09,15.000000000096934
0.0016949152542372883,0.4915254237288136,4.268221358538162e-09,15.000000000124425
0.0016949152542372883,0.5084745762711864,4.417012219470651e-09,15.000000000152413
0.0016949152542372883,0.5254237288135594,4.6012612529700225e-09,15.000000000181547
0.0016949152542372883,0.5423728813559322,4.825227835447953e-09,15.000000000212504
0.0016949152542372883,0.559322033898305,5.094465285500305e-09,15.000000000245205
0.0016949152542372883,0.576271186440678,5.4161488172456584e-09,15.000000000280705
0.0016949152542372883,0.5932203389830508,5.799465704965591e-09,15.000000000319114
0.0016949152542372883,0.6101694915254238,6.256222262410015e-09,15.000000000361611
0.0016949152542372883,0.6271186440677966,6.8016625072193555e-09,15.000000000408843
0.0016949152542372883,0.6440677966101694,7.455575384373989e-09,15.00000000046169
0.0016949152542372883,0.6610169491525424,8.243944271744307e-09,15.000000000521753
0.0016949152542372883,0.6779661016949152,9.201249827641325e-09,15.000000000590672
0.0016949152542372883,0.6949152542372882,1.0373865397109625e-08,15.000000000670243
0.0016949152542372883,0.711864406779661,1.1825248419474885e-08,15.000000000763409
0.0016949152542372883,0.7288135593220338,1.3643556609853986e-08,15.000000000873843
0.0016949152542372883,0.7457627118644068,1.5953956456096634e-08,15.00000000100629
0.0016949152542372883,0.7627118644067796,1.8938258083537218e-08,15.000000001167125
0.0016949152542372883,0.7796610169491526,2.286740674422412e-08,15.000000001365924
0.0016949152542372883,0.7966101694915254,2.815774794574407e-08,15.00000000161558
0.0016949152542372883,0.8135593220338984,3.547188361430156e-08,15.000000001935978
0.0016949152542372883,0.8305084745762712,4.5908905122712823e-08,15.000000002356511
0.0016949152542372883,0.847457627118644,6.138485517696971e-08,15.00000000292475
0.0016949152542372883,0.864406779661017,8.544720973347553e-08,15.000000003719396
0.0016949152542372883,0.8813559322033898,1.2517807187850528e-07,15.000000004879917
0.0016949152542372883,0.8983050847457628,1.9614764376472143e-07,15.000000006672783
0.0016949152542372883,0.9152542372881356,3.372998608414981e-07,15.000000009660772
0.0016949152542372883,0.9322033898305084,6.655108547039349e-07,15.000000015214724
0.0016949152542372883,0.9491525423728814,1.6457331510683988e-06,15.000000027469927
0.0016949152542372883,0.9661016949152542,6.37756656896732e-06,15.000000064829328
0.0016949152542372883,0.9830508474576272,0.00012181378514311332,15.000000474119876
0.0016949152542372883,1.0,0.0006650327415309853,19.999998973846598
0.0033898305084745766,0.0,0.0006711736252033757,10.000002126242
0.0033898305084745766,0.01694915254237288,0.0001321255587272494,14.999999023749762
0.0033898305084745766,0.03389830508474576,7.485042544959401e-06,14.999999870318728
0.0033898305084745766,0.05084745762711865,2.0868212797421752e-06,14.999999945263516
0.0033898305084745766,0.06779661016949153,9.102653536821508e-07,14.999999969803904
0.0033898305084745766,0.0847457627118644,4.971524561810398e-07,14.999999980924382
0.0033898305084745766,0.1016949152542373,3.1131567045646296e-07,14.999999986911252
0.0033898305084745766,0.11864406779661017,2.1381081068515463e-07,14.999999990507174
0.0033898305084745766,0.13559322033898305,1.5698448426201443e-07,14.999999992838955
0.0033898305084745766,0.15254237288135594,1.212480390854242e-07,14.99999999443942
0.0033898305084745766,0.1694915254237288,9.744998083095169e-08,14.99999999558769
0.0033898305084745766,0.1864406779661017,8.088567647096477e-08,14.999999996441453
0.0033898305084745766,0.2033898305084746,6.894989618439075e-08,14.999999997095562
0.0033898305084745766,0.22033898305084745,6.011165881016846e-08,14.999999997609406
0.0033898305084745766,0.23728813559322035,5.3426573049936356e-08,14.999999998022048
0.0033898305084745766,0.2542372881355932,4.828828895040551e-08,14.999999998360394
0.0033898305084745766,0.2711864406779661,4.429426659071552e-08,14.999999998642643
0.0033898305084745766,0.288135593220339,4.11697576854688e-08,14.999999998882068
0.0033898305084745766,0.3050847457627119,3.8722924712675176e-08,14.999999999088713
0.0033898305084745766,0.3220338983050847,3.681741592383088e-08,14.999999999269724
0.0033898305084745766,0.3389830508474576,3.535507888723882e-08,14.999999999430692
0.0033898305084745766,0.3559322033898305,3.42647836615168e-08,14.999999999576232
0.0033898305084745766,0.3728813559322034,3.349508964184625e-08,14.999999999709384
0.0033898305084745766,0.3898305084745763,3.3009314363940155e-08,14.99999999983345
0.0033898305084745766,0.4067796610169492,3.27822254083355e-08,14.999999999950537
0.0033898305084745766,0.423728813559322,3.279784590912825e-08,15.000000000062801
0.0033898305084745766,0.4406779661016949,3.3048013018624627e-08,15.000000000171978
0.0033898305084745766,0.4576271186440678,3.353155208338656e-08,15.000000000279709
0.0033898305084745766,0.4745762711864407,3.4253890991018974e-08,15.000000000387525
0.0033898305084745766,0.4915254237288136,3.5227100972883025e-08,15.000000000496964
0.0033898305084745766,0.5084745762711864,3.647029725323073e-08,15.00000000060934
0.0033898305084745766,0.5254237288135594,3.801050103727153e-08,15.000000000726457
0.0033898305084745766,0.5423728813559322,3.988392211931752e-08,15.000000000849939
0.0033898305084745766,0.559322033898305,4.213784416809476e-08,15.000000000981434
0.0033898305084745766,0.576271186440678,4.4833322626802685e-08,15.000000001123194
0.0033898305084745766,0.5932203389830508,4.804878262454604e-08,15.000000001277728
0.0033898305084745766,0.6101694915254238,5.188521053009435e-08,15.0000000014479
0.0033898305084745766,0.6271186440677966,5.6473087551898673e-08,15.00000000163717
0.0033898305084745766,0.6440677966101694,6.19825569203107e-08,15.000000001849596
0.0033898305084745766,0.6610169491525424,6.863744040079987e-08,15.000000002090712
0.0033898305084745766,0.6779661016949152,7.673585104100156e-08,15.00000000236695
0.0033898305084745766,0.6949152542372882,8.668043212118955e-08,15.000000002687079
0.0033898305084745766,0.711864406779661,9.902384886246764e-08,15.000000003061826
0.0033898305084745766,0.7288135593220338,1.1453863481438221e-07,15.000000003505862
0.0033898305084745766,0.7457627118644068,1.3432748092902907e-07,15.000000004038863
0.0033898305084745766,0.7627118644067796,1.600022040191832e-07,15.000000004687589
0.0033898305084745766,0.7796610169491526,1.9398410376052733e-07,15.000000005489875
0.0033898305084745766,0.7966101694915254,2.4002749356929733e-07,15.000000006499334
0.0033898305084745766,0.8135593220338984,3.041728266087617e-07,15.000000007796423
